Brunei,Cambodia,Indonesia,Laos,Malaysia,Myanmar,Philippines,Singapore,Thailand,Vietnam,avgRegion
31.9,34.2,30.8,30.9,31.1,33.3,32.4,31.4,35.3,31.3,25.69
31.9,34.1,30.8,30.8,31.1,32.3,32.4,31.4,35.2,31.5,25.64
31.9,35.1,30.8,31.3,31.1,33.3,31.5,31.4,35.8,31.3,25.49
31.8,33.4,30.7,30.7,30.9,31.8,30.9,31.4,34.2,31.2,25.35
31.9,35.1,30.8,31,31,31.8,31.6,31.4,35.5,31.3,25.77
31.9,35.7,30.7,31.5,31.1,33,32.5,31.4,36.3,31.6,25.84
31.9,34,30.8,30.6,30.9,32.1,31.6,31.4,34.9,31.1,25.45
31.8,34.3,30.8,30.8,30.8,33.7,31.5,31.4,35.3,31.2,25.5
31.9,34.1,30.7,30.7,31,32.4,31.7,31.4,35,31.4,25.56
31.8,33.9,30.7,30.7,30.8,32,31,31.4,34.6,31.3,25.44
31.7,34.4,31,30.7,30.9,32.1,31,31.8,34.9,31.4,25.73
31.9,34.5,30.9,31.4,31.3,32.1,32.7,32,35.3,31.8,25.72
31.8,34.8,31,31,31,32.6,31.4,31.9,35.4,31.1,25.57
31.9,34.7,31.1,31.2,31.6,31.8,32.2,32.8,35.1,31.6,25.73
31.8,34.2,31.1,30.8,31.2,32.7,32.7,32.2,35,31.3,25.74
32.2,34.1,31,30.8,31.2,32.2,31.1,31.8,35.1,31.4,25.51
31.8,34.6,31,30.8,30.9,32,31.4,31.5,35.2,31.1,25.39
31.8,33.4,31,30.2,30.7,31.6,31.5,31.2,34.2,31.2,25.47
31.9,34.3,30.9,31,31.3,32.8,32.2,32.3,35.2,31.4,25.81
31.9,34.1,31.1,30.8,31.2,32.2,31.5,32,34.8,31.3,25.67
31.9,33.8,30.9,31.3,30.8,33,31.8,31.6,35.1,31.5,25.53
31.9,34.1,31.1,31.6,30.8,32.7,32,31.5,34.8,32,25.69
31.9,33.2,30.9,30.7,31.1,32.2,31.5,32,34.3,31,25.57
31.9,33.6,30.8,31.3,31,33,32.2,31.6,34.7,31.5,25.67
31.9,33.4,30.9,30.6,31.3,31.7,31.5,32.3,34.1,31.4,25.48
31.9,34.7,31,31.3,31.5,32.5,32.3,32.8,35.4,31.5,25.8
31.9,33.6,30.9,30.4,31.2,31.7,31.7,32,34.2,31.5,25.65
31.9,33.6,30.9,31.1,31.3,33.3,32,32.2,34.7,31.4,25.75
31.9,33.4,30.9,31,31.2,32.1,31.7,32,34.4,31.7,25.64
31.8,33.6,30.9,31.6,31.1,32.6,31.8,32.2,34.9,31.8,25.75
32,34.8,30.9,32.2,31.5,33.8,32.7,32.3,36,31.9,25.97
31.9,34.3,30.9,32,31,33,31.9,31.4,35.1,32.3,25.69
31.9,34.4,30.8,31.5,31.3,32.6,32.4,31.9,35.2,31.8,25.76
31.7,33.9,30.9,31.5,31,32.7,30.8,31.7,34.8,31.9,25.56
31.9,34.5,30.9,31.3,31,33,31.6,31.6,35.2,31.7,25.89
31.9,34.6,30.8,31.1,31.1,32.8,31.9,31.6,35.2,31.6,25.7
31.9,34.7,30.9,31.7,30.9,33.6,32,31.9,35.6,31.2,25.83
31.9,33.5,30.9,30.5,30.9,33.1,31.3,31.6,34.3,31,25.58
31.9,33.9,30.9,30.5,31.1,32.5,31.7,31.8,34.6,31.2,25.54
31.9,35.5,31.1,31.6,31.3,33.4,32.3,32.2,36.3,31.6,25.76
32.7,35.8,31.1,31.6,31.8,33.5,32,32.7,36.3,31.8,26.28
31.9,34.4,30.8,31.1,31,32.6,31.9,31.4,35,31.5,25.75
31.9,33.7,30.7,31.6,31.1,31.8,31.9,31.4,34.7,31.6,25.52
31.9,34.9,30.9,31.3,31.1,32.8,31.9,31.4,35.9,31.2,25.65
31.9,34,30.7,31.3,31.1,33.1,31.5,31.4,35.1,31.7,25.65
31.9,34.3,30.9,30.8,30.9,32.3,32.5,31.2,34.9,31.7,25.84
32,33.9,30.8,31.7,31.1,32.6,32.2,31.2,34.7,31.7,25.86
31.9,34.1,31.1,30.4,31.3,32,32.5,32.7,34.6,31.3,25.75
31.9,34.4,30.9,30.9,30.9,31.4,31.9,32.1,34.9,31.7,25.69
32.2,34.3,30.7,31.1,30.9,32.4,31.7,31.4,34.7,31.4,25.62
32.1,34.5,31.2,31.1,31,32.4,31.8,31.5,35.5,31.2,25.61
32.4,34.3,30.8,31.9,31.1,32.7,32,31.4,35,32,25.66
32.7,33.9,31.2,30.3,31.1,33.1,31.9,31.1,34.7,31.6,25.67
32.2,35,30.7,32,31,33.6,32.1,31,35.9,31.6,25.56
32,33.9,30.8,31.2,31.2,32.1,31.8,31.8,34.3,31.6,25.3
32.1,34,30.7,30.6,31,33,30.9,31.3,34.6,31.2,25.23
32.4,34.8,31,32.4,31.2,33.4,32.1,31.4,35.2,32.1,25.65
32.4,35.4,31.1,32.8,31.5,34,32.1,32.1,36.3,32.7,25.79
31.8,34.6,31,31.4,30.7,33.3,31.7,31.2,35.3,32,25.7
32.4,35.5,31.1,31.9,31.2,34.5,31.7,31.5,36.3,31.7,25.77
32,34.6,30.8,31,31,33.1,31.9,31.4,35.1,31.3,25.52
31.7,34.5,30.8,31.2,31,33.3,32,31.5,35.5,31.7,25.4
32.2,34.5,31.1,32.9,31,32.2,32.4,32.1,35.2,32.7,25.42
31.7,35,30.6,31.6,30.8,32.8,31.6,31.3,35.7,31.3,25.46
31.5,34.2,31.1,30.9,30.5,32.7,31.3,31,34.8,31.2,25.45
32.4,34.4,30.9,31.8,31.2,33.8,32.2,31.6,35.6,30.9,25.83
31.9,33.9,30.9,31,30.7,32,32.2,30.9,34.5,31.7,25.35
31.8,33.4,30.7,30.6,30.8,31.5,32.3,31.3,33.9,31.3,25.51
32.3,34.6,31,32.1,31.2,33.3,32.8,31.9,35.5,32.3,25.73
31.8,34,30.9,30.5,30.8,32.4,32.5,31.3,34.8,31.2,25.58
32.2,34,30.7,30.8,31.1,32.2,31.2,31.8,34.9,30.9,25.21
32.8,34.5,31.3,32.4,31.5,32.6,31.8,31.7,35.1,32.1,25.68
32.2,35.2,31.2,32,31.1,33.7,32.7,31.4,36.1,31.7,25.83
32.2,33.1,30.9,30.5,30.8,31.3,31.8,30.9,33.7,31.2,25.39
32.3,34.5,30.8,31.7,30.9,32.8,32,31.1,35.3,31.1,25.5
31.8,34.2,30.8,30.3,30.8,32,31.6,31.2,34.7,31.2,25.35
31.9,34.1,31.1,31.7,31.2,30.7,32.3,31.9,34.5,32.5,25.57
32.1,34.3,30.8,31,31,33.2,32.1,31.4,35.2,31.5,25.73
32.3,35.2,31.2,31.4,31.5,33.7,32,32.1,36,31.6,25.97
32.4,34.8,31.1,32,31.5,33.9,32.2,31.6,35.8,31.7,25.86
33,33.4,31,30.4,31.8,31.9,32.1,31.9,34.3,31.4,25.62
32.1,33.5,31.3,31.1,31.1,32.4,32.1,31.5,34.4,31.3,25.63
33.3,35.6,31.2,32.9,32.2,33.1,32.7,33,36.8,32.1,25.89
32,34.1,30.7,31.3,30.9,33.1,31.8,31.1,34.8,31.1,25.51
32.3,33.4,30.8,30.2,31.2,32.4,32,31.9,34.4,31.1,25.61
32.6,33.9,31,30.6,31.5,32.4,32.1,31.8,34.7,31.4,25.66
32.8,34.9,31.2,32.6,31.7,33.4,33.5,32.1,35.7,32.3,26.18
32.3,34.3,31.1,30.6,31.3,32.9,32.5,31.9,34.9,32.1,26
32,35.1,30.8,31.9,30.9,33.1,31.8,31.5,35.9,31.5,25.85
32.4,35.4,31.2,31.5,31.4,32.3,32.6,32.2,35.8,32.2,26.16
32.2,35.1,31,31.9,31.4,32.7,32.8,32.2,35.7,31.9,26.15
32.8,36.1,30.9,32.8,31.8,33.6,32.5,32.4,37,32.1,25.92
32.1,34.3,31,31.4,31.3,32.6,32.7,31.9,34.9,32.3,25.94
31.9,35.1,31,32,31.1,32.9,32.3,31.8,35.6,31.7,26.06
32.1,35,31.2,32.2,31.4,34,32.2,32,35.9,32.1,26
32.3,34.1,31,30.1,31.4,32,31.3,32.2,34.4,31.6,25.81
32.8,33.8,31.1,31.7,31.5,32.4,31.9,32.6,34.3,31.9,26.13
32.9,35.4,31.3,32.2,32.3,33,32.8,33.2,36.1,32.3,26.66
32.4,34,31,30.2,31.2,32.8,31.8,32,34.7,31.6,25.9
32.6,33.6,31.1,30,31.7,31.9,31.7,32.4,33.9,31.5,25.95
32.6,35.6,31.1,32.4,31.6,33.9,32.4,32.2,36.3,31.2,26.13
32.7,34.7,31.3,31.5,31.8,32.7,32.1,32.6,35.2,31.8,26.21
32.4,35,31.2,31.6,31.7,32.7,32.6,32.5,35.3,31.9,26.12
32.6,35,31.3,30.8,31.8,32.2,32.5,32.7,35.7,31.4,26.03
32.6,34.5,31,32.1,31.5,32.9,32.5,32.2,35.1,32.3,26.2
32.4,33.9,31.1,30.7,31.1,32.1,32.1,31.7,34.4,31.7,26.15
32.4,34.3,31.1,30.9,31.4,32,32.3,31.9,34.8,32,26.01
31.9,33.8,31,30.3,31,32.5,31.3,31.7,34.2,30.9,25.73
32.6,33.8,31.2,30.1,31.6,32.2,31.3,32.1,34.2,31.7,26.13
32.4,35.4,31.1,32.5,31.8,33.6,32.5,32.7,36.4,32.1,26.4
32.4,33.1,31,30,31.2,31.4,31.5,32.1,33.2,31.5,25.83
32.5,34.4,31.3,31.4,31.6,32.5,32.6,32,35,31.7,26.31
32.8,34.6,31.2,31.4,31.7,33.3,32.7,32.5,35.5,31.7,26.16
32.7,34.4,31.4,32.1,31.5,33.9,32.8,32.4,35.2,32.3,26.23
32.9,34.8,31.4,32.9,31.9,32.7,32.6,32.4,35.2,32.9,26.48
33.3,36.3,31.3,33,32.2,33.3,32.9,32.7,37.3,32.3,26.63
32.9,33.8,31.3,30.4,31.5,31.5,32.1,32.1,34.2,31.5,26.24
33,33.2,31.2,30.6,32.1,31.8,32.6,33.1,33.7,31.5,26.24
33,35.6,31.2,32.8,32.1,34,32.6,32.7,36.6,32.4,26.65
32.9,34.7,31.3,32.7,32,32.6,32.4,33,35.4,32.9,26.55
33.2,34.1,31.5,32,31.6,32.5,32.3,32.6,34.7,32.3,26.33
33.2,33.5,31.1,30.6,31.8,31.8,31.9,32.8,34.2,31.8,26.16
